Order list for D:/git/sduino/robot/eagle/Robot.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
1	UA78M05CDCY	SOT230P700X180-4N	2296030	TEXAS INSTRUMENTS	UA78M05CDCY	2138	0.141	TEXAS INSTRUMENTS - UA78M05CDCY - V REG, 0.5A, 5V, 5%, 4SOT223
1	RN42-I/RM	RN42	2143310	MICROCHIP	RN42-I/RM	3528	11.5	MICROCHIP - RN42-I/RM - MODULE, BLUETOOTH CLASS 2, W/ ANT
3	KSC921J	TACT_SWITCH_4_PIN	2435155	C & K COMPONENTS	KSC921J LFS	796	0.288	C & K COMPONENTS - KSC921J LFS - TACTILE SWITCH, SPST, 0.05A, 32VDC, SMD
1	330nF	C0805	1833878	AVX	08053C334KAT2A	70475	0.131	AVX - 08053C334KAT2A - CAP, MLCC, X7R, 330NF, 25V, 0805
18	100nF	C0805	499687	AVX	08055C104KAT2A	194785	0.0086	AVX - 08055C104KAT2A - CAP, MLCC, X7R, 100NF, 50V, 0805
1	10nF	C0805	1759246	MULTICOMP	MC0805B103K500CT	84763	0.0052	MULTICOMP - MC0805B103K500CT - CAP, MLCC, X7R, 10NF, 50V, 0805
2	4.7uF	C0805	1735529	MURATA	GRM21BR61E475KA12L	6216	0.0181	MURATA - GRM21BR61E475KA12L - CAP, MLCC, X5R, 4.7UF, 25V, 0805
3	47uF	C1210	1907527	MURATA	GRM32EC81C476KE15L	2661	0.136	MURATA - GRM32EC81C476KE15L - CAP, MLCC, X6S, 47UF, 16V, 1210
2	22pF	C0805	1362555	YAGEO (PHYCOMP)	CC0805JRNPO9BN220	9836	0.0038	YAGEO (PHYCOMP) - CC0805JRNPO9BN220 - CAP, MLCC, C0G/NP0, 22PF, 50V, 0805
2	MBR0520	SOD123	1467521	FAIRCHILD SEMICONDUCTOR	MBR0520L	8774	0.0385	FAIRCHILD SEMICONDUCTOR - MBR0520L - DIODE, SCHOTTKY, 0.5A, 20V, SMD
1	BAV99	SOT23	1621837	MULTICOMP	BAV99	101121	0.0096	MULTICOMP - BAV99 - DIODE, DUAL, SMALL SIG, 75V, SOT-23-3
