Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Robot.brd" as of: 25/01/2016 14:14:24
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
3V3REG,Top,2.709,3.352,90
5VREG,Top,2.655,1.104,0
BT_MODULE,Top,5.260,2.641,0
BUTTON_ON_OFF,Top,1.969,2.087,90
BUTTON_PROG_START,Top,1.969,2.559,90
BUTTON_RESET,Top,1.969,1.614,90
C1,Top,2.524,1.338,0
C2,Top,2.392,0.944,180
C3,Top,5.890,1.992,90
C4,Top,3.264,3.220,180
C5,Top,6.081,1.810,90
C6,Top,3.260,0.992,180
C7,Top,5.454,1.086,180
C8,Top,4.113,1.607,0
C9,Top,4.113,1.741,0
C10,Top,4.113,1.875,0
C11,Top,6.006,1.251,90
C12,Top,6.008,1.413,90
C13,Top,5.094,2.733,0
C14,Top,4.984,2.070,270
C15,Top,4.923,2.267,180
C16,Top,4.248,2.102,90
C17,Top,4.943,1.865,180
C18,Top,4.941,1.948,180
C19,Top,4.385,4.255,270
C20,Top,0.779,1.167,270
C21,Top,3.712,0.744,90
C22,Top,1.259,1.050,90
C23,Top,3.882,0.715,270
C24,Top,0.707,1.003,90
C25,Top,3.228,2.638,180
C26,Top,3.181,3.004,180
C27,Top,2.528,0.709,270
C28,Top,2.470,3.265,90
C29,Top,2.933,3.224,0
C30,Top,4.303,2.819,0
C31,Top,4.744,2.449,180
CTRL1,Top,3.186,2.795,0
D1,Top,2.618,0.917,180
D2,Top,2.616,0.829,0
D3,Top,4.922,2.902,90
D4,Top,3.425,2.756,270
D5,Top,2.087,0.118,0
D6,Top,2.087,0.000,0
D7,Top,2.559,0.472,0
ENC1,Bottom,3.335,4.268,0
ENC2,Bottom,3.335,-0.205,0
ESD1,Top,1.559,1.547,270
ESD2,Top,1.224,3.181,90
ESD3,Top,4.760,4.244,0
ESD4,Top,4.016,0.260,0
ESD5,Top,1.555,0.083,180
F1,Top,6.017,1.633,0
F2,Top,2.339,0.406,270
F3,Top,2.441,0.406,270
F4,Top,3.236,2.169,270
IC1,Top,5.753,1.302,0
IC2,Top,4.628,2.059,180
INV1,Top,4.594,4.457,0
L1,Top,5.979,1.986,90
LED_BT_CONN,Top,6.006,2.542,0
LED_BT_STAT,Top,5.994,2.806,0
LED_LOW_BATT,Top,3.269,1.440,0
LED_MOTOR_L1,Top,2.113,4.397,90
LED_MOTOR_L2,Top,1.923,4.399,90
LED_MOTOR_R1,Top,2.104,-0.234,270
LED_MOTOR_R2,Top,1.933,-0.233,270
LED_POWER,Top,1.641,2.146,90
LED_RX,Top,5.632,1.745,270
LED_START,Top,2.540,2.907,270
LED_TX,Top,5.458,1.748,270
MOTOR_CONTROLLER,Top,4.421,1.523,0
OR1,Top,3.691,1.166,180
POT1,Top,3.937,3.386,0
POT2,Top,2.795,0.669,0
Q1,Top,5.127,1.958,90
Q2,Top,3.268,1.181,0
Q3,Top,2.892,2.975,0
Q4,Top,2.386,0.583,90
R1,Top,6.067,2.386,90
R2,Top,1.638,1.897,90
R3,Top,2.707,2.952,270
R4,Top,1.687,4.405,180
R5,Top,1.759,-0.250,180
R6,Top,5.472,1.260,90
R7,Top,2.179,1.602,90
R8,Top,2.193,2.567,270
R9,Top,5.663,1.566,180
R10,Top,5.491,1.535,180
R11,Top,5.271,2.537,270
R12,Top,6.011,2.973,270
R13,Top,5.928,2.974,90
R14,Top,5.512,2.441,0
R15,Top,5.916,2.674,270
R16,Top,5.512,2.326,0
R17,Top,5.106,1.547,0
R18,Top,5.921,3.190,90
R19,Top,5.134,2.901,270
R20,Top,6.050,2.678,270
R21,Top,4.016,3.898,180
R22,Top,2.909,1.000,270
R23,Top,2.936,3.316,180
R24,Top,4.961,4.213,270
R25,Top,4.567,4.213,0
R26,Top,0.897,1.167,270
R27,Top,3.484,1.169,0
R28,Top,3.484,1.055,0
R29,Top,1.172,1.208,90
R30,Top,1.034,1.213,270
R31,Top,2.953,2.761,90
R32,Top,4.245,2.905,0
R33,Top,4.201,2.697,90
R34,Top,2.205,2.205,90
R35,Top,2.205,2.008,90
R36,Top,3.032,1.395,0
R37,Top,4.559,2.486,180
R38,Top,2.756,2.756,270
R39,Top,4.743,2.549,180
R40,Top,2.567,0.583,0
R41,Top,2.520,0.224,0
R42,Top,2.378,0.693,180
R43,Top,1.583,1.409,180
R44,Top,1.551,1.740,180
R45,Top,4.941,4.394,180
R46,Top,4.016,3.661,0
R47,Top,1.715,1.618,270
R48,Top,4.927,2.493,270
R49,Top,1.126,3.378,270
R50,Top,1.224,3.016,90
R51,Top,1.235,3.590,270
R52,Top,4.126,0.421,270
R53,Top,3.933,0.520,0
R54,Top,4.056,0.586,90
R55,Top,1.224,0.654,0
R56,Top,1.677,-0.039,90
R57,Top,1.224,0.547,180
R58,Top,4.016,3.811,180
R59,Top,2.630,0.709,270
RST1,Top,4.953,2.701,180
RST2,Top,4.335,2.701,0
RST3,Top,4.571,2.638,0
S1,Top,5.432,0.659,270
SENS1,Top,0.945,2.087,0
SENS2,Top,1.811,3.465,0
SENS3,Top,4.685,3.465,180
SENS4,Top,4.685,0.709,180
SENS5,Top,1.811,0.709,0
TVS1,Top,5.882,2.138,180
USB_CONN,Top,6.098,1.988,90
USB_FILTER,Top,5.768,2.157,180
WDT1,Top,0.983,0.898,0
